X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
2.0,2.0,train,1.0685031810457444E-4,3.891003143374569,0.07852783772829908
3.0,3.0,train,2.019490710538803E-4,6.529040166051408,0.14321719798128973
4.0,4.0,train,7.184833599290341E-4,30.82352402003928,0.42300613991950287
6.0,6.0,train,0.001489222988712254,49.689813026695404,0.6801310825783358
7.0,7.0,train,0.0017666809643530831,54.27730259432258,0.741331763680843
8.0,8.0,train,1.8336643966000393E-4,5.971920505464895,0.13094405492318706
9.0,9.0,train,0.0010993134396060716,42.402897749983744,0.5688973870528427
10.0,10.0,train,0.001791963589335447,54.60280974057475,0.7462891831458823
11.0,11.0,train,0.0013116239586587989,47.03251153667388,0.6335563679626779
12.0,12.0,train,7.15427947049141E-4,30.621665239674638,0.4216552041473103
13.0,13.0,train,0.002803987529715662,65.00398328050667,0.8830674909970304
14.0,14.0,train,0.006477643625715284,93.23191255433463,0.9929727286030372
15.0,15.0,train,0.0010429299146557565,41.26889337292234,0.5498855798725357
16.0,16.0,train,0.001816643545719128,54.9211454842463,0.751036777675298
18.0,18.0,train,8.681546456902394E-4,35.280929208000885,0.48545966205832036
20.0,20.0,train,0.0031291719757139216,67.9700241621244,0.9088321479117136
21.0,21.0,train,0.00788476375729148,98.34819231823136,0.9976064069168432
22.0,22.0,train,0.002026654901022061,56.92262156884276,0.7880048242152046
25.0,25.0,train,0.0013038117194423416,46.813900756350996,0.6313586727296995
26.0,26.0,train,0.0023870008356031715,61.313433744730226,0.8391042723572901
28.0,28.0,train,0.003077793840987631,67.65710580958635,0.905175585860253
29.0,29.0,train,0.00544195066333734,88.36038503648204,0.9844740498511939
30.0,30.0,train,0.0027302128908022476,63.62415770119099,0.8762747142443883
32.0,32.0,train,0.002814201297428782,65.2854604549852,0.883978054991704
34.0,34.0,train,4.611058808107736E-4,20.661280045927338,0.29737235169170795
36.0,36.0,train,0.0023594570261626694,61.074646253277706,0.8356762778178946
38.0,38.0,train,0.002254386071572043,60.14953110767732,0.8219153154079624
39.0,39.0,train,0.004276736416401707,77.89280950535172,0.9621223162551042
40.0,40.0,train,0.002066240979747656,57.56355815182844,0.7943317307355173
41.0,41.0,train,0.0053038144141905235,86.4389820356367,0.982742589638429
42.0,42.0,train,0.0015984866239639815,51.87945823463744,0.7057936399105809
43.0,43.0,train,0.00539776249676692,87.81621799041432,0.9839399594411029
44.0,44.0,train,0.007858262732378206,97.55978837170436,0.9975573601161283
45.0,45.0,train,0.0028808264388806284,65.8381965190687,0.8897462203211679
46.0,46.0,train,0.0036520558785321923,72.75897570173424,0.9389013634320201
48.0,48.0,train,6.038965568559781E-4,26.885311326336545,0.3701159186382812
50.0,50.0,train,0.0020117081666959835,56.6338436169137,0.7855656403079792
52.0,52.0,train,0.0021760706557667374,58.59587610946979,0.8109140960693109
53.0,53.0,train,0.0055775985646028935,88.9181362629957,0.9860051614558697
54.0,54.0,train,0.006561366771420182,93.88799551875357,0.9934089200855324
55.0,55.0,train,0.005088247483833066,84.1228689782227,0.9796468536285902
56.0,56.0,train,0.0014025775092278488,48.55719585298605,0.6581987917911436
57.0,57.0,train,0.0036775065459753427,73.12697628359409,0.940080036225745
59.0,59.0,train,0.0020877578841266508,57.953188475547165,0.7976911290012452
60.0,60.0,train,0.00482620979883601,81.12598072373807,0.9751266269288464
61.0,61.0,train,0.005363908883264476,87.27639666269475,0.9835183832346382
62.0,62.0,train,0.006831744593410878,94.59275007260187,0.9946410324099955
63.0,63.0,train,4.435472648093554E-4,19.835116338343155,0.28786580527811645
64.0,64.0,train,3.623756847973306E-4,15.942005327771836,0.2422187920021992
65.0,65.0,train,3.7447888733710096E-4,16.332782633978596,0.2492062591182821
66.0,66.0,train,0.0015244046342747595,50.77736311274021,0.6886295318454719
67.0,67.0,train,6.100994842520212E-4,27.05902274337421,0.37309932544768654
71.0,71.0,train,0.0021896004778196526,58.814841444841264,0.8128621014954792
72.0,72.0,train,0.007019861540027113,95.2731838808999,0.9953596604111867
73.0,73.0,train,7.302481703561981E-4,31.24865467676448,0.428178490178056
75.0,75.0,train,1.3203831698907235E-4,4.554726638395208,0.09612254171114198
76.0,76.0,train,4.8279666228276933E-4,21.38321665551572,0.3089410907484156
77.0,77.0,train,0.006159262130001527,91.32125889623819,0.991033583168451
78.0,78.0,train,0.006047441444324059,90.7053154796166,0.9902323769923608
79.0,79.0,train,0.0019329823359432897,55.53337975079337,0.7722473794415168
80.0,80.0,train,7.116708263159947E-4,30.466767202743995,0.4199896748940103
81.0,81.0,train,0.0029821823921356134,66.74692461107553,0.8979760647490025
82.0,82.0,train,0.0027347484793226687,64.16978256438489,0.8767034840422927
84.0,84.0,train,5.314980484817821E-4,24.067730780438033,0.3342266686886368
85.0,85.0,train,0.003775443149690435,74.62816289396962,0.9444074312575536
86.0,86.0,train,0.0010072397570146587,40.08757032382616,0.537420289239269
87.0,87.0,train,0.0023509629250461606,60.83886429336149,0.8346044725432262
88.0,88.0,train,3.5601248089958817E-4,15.681531837727691,0.23851911872836595
89.0,89.0,train,8.432074389077161E-4,34.41734871929259,0.47554038663460385
91.0,91.0,train,0.0035405578787656893,71.31326830765917,0.9334582496496973
93.0,93.0,train,0.003736117552108554,73.87360513865457,0.942708678392605
94.0,94.0,train,0.002824200125488393,65.5678444634197,0.884862588211804
96.0,96.0,train,5.483083786335282E-4,24.78939979102887,0.34273799781497083
99.0,99.0,train,0.004126999010987115,76.29872925686465,0.9575226752670911
101.0,101.0,train,0.0020884361015698983,58.16087310262385,0.7977961211563964
